meterID,testYear,installationYear,meterSize,meterMake,accuracy
16986501,2020,2010,0.625,BADGER,100.57
47327349,2018,1996,1,NEPTUNE,100.13
18855180,2018,2003,0.625,BADGER,100.85
16786344,2019,1964,0.625,BADGER,100.88
38010083,2019,1993,0.625,NEPTUNE,100.06
94305124,2019,1994,0.625,BADGER,100.33
18853041,2018,2003,0.625,BADGER,100.17
85378796,2019,2007,0.625,NEPTUNE,100.71
17564672,2018,2001,0.625,BADGER,100.17
42949691,2018,1997,0.625,NEPTUNE,-3.9
80863332,2018,2005,0.625,NEPTUNE,100.27
34452076,2018,1989,0.625,NEPTUNE,100.42
18084705,2019,2002,0.625,BADGER,100.59
35827058,2019,1991,0.625,NEPTUNE,101.24
17566054,2018,2001,0.625,BADGER,100.06
43766245,2018,1997,0.625,NEPTUNE,100.09
18656639,2019,1990,0.625,BADGER,100.96
90778619,2019,1990,0.625,BADGER,100.07
90489864,2018,1990,0.625,BADGER,100.21
35827014,2018,1991,0.625,NEPTUNE,100.39
6039594,2018,1957,0.625,TRIDENT,-3.81
46212833,2019,1999,0.625,NEPTUNE,100.89
25108827,2020,1980,0.625,NEPTUNE,101.02
44127094,2019,1998,0.625,NEPTUNE,100.1
51913103,2020,2010,0.625,BADGER,100.46
44129176,2019,1998,0.625,NEPTUNE,100.08
95041643,2018,1995,0.625,BADGER,100.51
94705444,2018,1994,0.625,BADGER,100.65
82284297,2019,2006,0.625,NEPTUNE,100.2
38024395,2019,1993,0.625,NEPTUNE,100.42
18432057,2019,2002,0.625,BADGER,100.1
81548563,2019,2005,0.625,NEPTUNE,100.12
18084351,2019,2018,0.625,BADGER,100.04
51902648,2019,2010,0.625,BADGER,100.08
89945434,2019,2010,0.625,NEPTUNE,100.02
42948675,2019,1997,0.625,NEPTUNE,101.04
30930027,2018,1986,0.625,NEPTUNE,100.73
18855306,2019,2003,0.625,BADGER,100.33
32879571,2019,2006,1,BADGER,100.5
17418274,2019,2001,0.625,BADGER,100.1
17737486,2019,2002,0.625,BADGER,100.01
18068256,2018,2010,1,BADGER,100.26
15250662,2019,2010,0.625,BADGER,100.56
84064451,2019,2007,0.625,NEPTUNE,100.34
45250857,2019,1998,0.625,NEPTUNE,100.26
60683410,2019,2000,1,NEPTUNE,100.17
79706457,2019,2004,0.625,NEPTUNE,100.02
95040198,2019,1995,0.625,BADGER,100.16
14684246,2018,2015,0.625,BADGER,100.66
18855453,2018,2003,0.625,BADGER,100.16
30503975,2018,1985,0.625,NEPTUNE,100.35
17921441,2018,2002,0.625,BADGER,100.11
41160370,2019,1995,0.625,NEPTUNE,100.4
19079632,2018,2003,0.625,BADGER,100.45
17737811,2019,2002,0.625,BADGER,100.45
32163968,2019,2005,1,BADGER,102.17
18657430,2018,2003,0.625,BADGER,100.35
82819843,2019,2006,0.625,NEPTUNE,100.43
18377501,2020,2010,0.625,BADGER,100.06
