,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
905,87595086,2019,2009,0.625,NEPTUNE,100.32,-0.3199999999999932
912,79078339,2019,2004,0.625,NEPTUNE,100.29,-0.29000000000000625
915,17418022,2020,2001,0.625,BADGER,100.99,-0.9899999999999949
920,84835568,2019,2007,0.625,NEPTUNE,100.31,-0.3100000000000023
928,15254793,2019,2010,0.625,BADGER,100.53,-0.5300000000000011
930,18856302,2019,2003,0.625,BADGER,100.03,-0.030000000000001137
933,91378861,2019,2011,0.625,NEPTUNE,102.35,-2.3499999999999943
941,86698042,2019,2008,0.625,NEPTUNE,101.49,-1.4899999999999949
942,16587747,2019,2010,0.625,BADGER,100.26,-0.2600000000000051
947,37806742,2019,1993,0.625,NEPTUNE,101.34,-1.3400000000000034
958,91376915,2018,2011,0.625,NEPTUNE,100.57,-0.5699999999999932
969,19079396,2019,2003,0.625,BADGER,100.01,-0.010000000000005116
984,17418212,2018,2001,0.625,BADGER,100.2,-0.20000000000000284
991,89403024,2019,2010,0.625,NEPTUNE,100.85,-0.8499999999999943
993,18086071,2019,2002,0.625,BADGER,100.13,-0.12999999999999545
1000,17921039,2018,2002,0.625,BADGER,100.17,-0.1700000000000017
1001,90848851,2019,1990,0.625,BADGER,101.23,-1.230000000000004
1003,94707621,2018,1994,0.625,BADGER,100.98,-0.980000000000004
1007,15253187,2019,2010,0.625,BADGER,100.74,-0.7399999999999949
1014,16984545,2019,2010,0.625,BADGER,100.36,-0.35999999999999943
1016,16656788,2019,2010,0.625,BADGER,100.31,-0.3100000000000023
1022,8611157,2019,2005,0.625,NEPTUNE,-3.87,103.87
1023,13623813,2020,2010,0.625,BADGER,100.27,-0.269999999999996
1027,14922967,2018,1955,0.625,TRIDENT,101.1,-1.0999999999999943
1030,18450696,2018,2018,0.625,BADGER,101.89,-1.8900000000000006
1037,94205235,2018,1994,0.625,BADGER,100.12,-0.12000000000000455
1042,34031101,2018,2010,1.0,BADGER,101.15,-1.1500000000000057
1046,18431644,2020,2002,0.625,BADGER,100.13,-0.12999999999999545
1054,29062858,2018,1983,0.625,NEPTUNE,100.01,-0.010000000000005116
1056,17207490,2019,1990,0.625,BADGER,100.05,-0.04999999999999716
1059,14972115,2019,2014,0.625,BADGER,101.99,-1.9899999999999949
1061,18628517,2018,2018,0.625,BADGER,100.31,-0.3100000000000023
1064,14223416,2019,2010,0.625,BADGER,100.93,-0.9300000000000068
1069,90779510,2019,1990,0.625,BADGER,100.73,-0.730000000000004
1072,15499605,2019,2010,0.625,BADGER,100.8,-0.7999999999999972
1080,17416830,2020,2001,0.625,BADGER,100.13,-0.12999999999999545
1085,46940062,2018,1999,0.625,NEPTUNE,100.55,-0.5499999999999972
1086,94489780,2019,1994,0.625,BADGER,101.8,-1.7999999999999972
1111,35825868,2018,1991,0.625,NEPTUNE,100.24,-0.23999999999999488
1114,15478508,2019,2010,0.625,BADGER,100.16,-0.1599999999999966
1117,82821065,2018,2006,0.625,NEPTUNE,100.45,-0.45000000000000284
1118,45574476,2019,1999,0.625,NEPTUNE,100.35,-0.3499999999999943
1122,15208401,2020,2010,0.625,BADGER,100.83,-0.8299999999999983
1127,78394888,2018,2003,0.625,NEPTUNE,100.16,-0.1599999999999966
1138,78393904,2019,2003,0.625,NEPTUNE,100.57,-0.5699999999999932
1139,32879535,2018,2006,1.0,BADGER,100.94,-0.9399999999999977
1143,80862939,2019,2005,0.625,NEPTUNE,100.82,-0.8199999999999932
1146,94304379,2019,1994,0.625,BADGER,100.84,-0.8400000000000034
1147,89017000,2018,2010,0.625,NEPTUNE,100.41,-0.4099999999999966
1148,89943029,2018,2010,0.625,NEPTUNE,100.4,-0.4000000000000057
1151,18830602,2018,2018,0.625,BADGER,100.16,-0.1599999999999966
1165,15606039,2019,2010,0.625,BADGER,100.6,-0.5999999999999943
1166,13359679,2018,2018,1.0,BADGER,100.54,-0.5400000000000063
1174,44465981,2018,1998,0.625,NEPTUNE,100.42,-0.4200000000000017
1175,45574529,2019,1999,0.625,NEPTUNE,100.42,-0.4200000000000017
1179,94490563,2019,1994,0.625,BADGER,100.39,-0.39000000000000057
1190,32977444,2019,1988,0.625,NEPTUNE,102.02,-2.019999999999996
1197,77106765,2019,1972,0.625,NEPTUNE,101.61,-1.6099999999999994
1201,37237867,2018,1992,0.625,NEPTUNE,100.22,-0.21999999999999886
1214,17206539,2019,2001,0.625,BADGER,100.15,-0.15000000000000568
1219,89402310,2018,2010,0.625,NEPTUNE,100.16,-0.1599999999999966
1224,51901763,2019,2010,0.625,BADGER,100.56,-0.5600000000000023
1228,79078119,2018,2004,0.625,NEPTUNE,100.02,-0.01999999999999602
1229,43431862,2019,1997,0.625,NEPTUNE,-3.88,103.88
1249,85378549,2019,2007,0.625,NEPTUNE,-3.84,103.84
1252,81999289,2019,2006,0.625,NEPTUNE,100.25,-0.25
1269,17738156,2019,2002,0.625,BADGER,101.19,-1.1899999999999977
1277,46212620,2018,1999,0.625,NEPTUNE,100.19,-0.18999999999999773
1302,81549068,2018,2005,0.625,NEPTUNE,100.3,-0.29999999999999716
1310,51913082,2019,2010,0.625,BADGER,100.32,-0.3199999999999932
1311,16986501,2020,2010,0.625,BADGER,100.57,-0.5699999999999932
1316,47327349,2018,1996,1.0,NEPTUNE,100.13,-0.12999999999999545
1326,18855180,2018,2003,0.625,BADGER,100.85,-0.8499999999999943
1327,16786344,2019,1964,0.625,BADGER,100.88,-0.8799999999999955
1328,38010083,2019,1993,0.625,NEPTUNE,100.06,-0.060000000000002274
1329,94305124,2019,1994,0.625,BADGER,100.33,-0.3299999999999983
1330,18853041,2018,2003,0.625,BADGER,100.17,-0.1700000000000017
1333,85378796,2019,2007,0.625,NEPTUNE,100.71,-0.7099999999999937
1335,17564672,2018,2001,0.625,BADGER,100.17,-0.1700000000000017
1343,42949691,2018,1997,0.625,NEPTUNE,-3.9,103.9
1344,80863332,2018,2005,0.625,NEPTUNE,100.27,-0.269999999999996
1360,34452076,2018,1989,0.625,NEPTUNE,100.42,-0.4200000000000017
1361,18084705,2019,2002,0.625,BADGER,100.59,-0.5900000000000034
1369,35827058,2019,1991,0.625,NEPTUNE,101.24,-1.2399999999999949
1377,17566054,2018,2001,0.625,BADGER,100.06,-0.060000000000002274
1382,43766245,2018,1997,0.625,NEPTUNE,100.09,-0.09000000000000341
1388,18656639,2019,1990,0.625,BADGER,100.96,-0.9599999999999937
1395,90778619,2019,1990,0.625,BADGER,100.07,-0.06999999999999318
1396,90489864,2018,1990,0.625,BADGER,100.21,-0.20999999999999375
1407,35827014,2018,1991,0.625,NEPTUNE,100.39,-0.39000000000000057
1419,6039594,2018,1957,0.625,TRIDENT,-3.81,103.81
1429,46212833,2019,1999,0.625,NEPTUNE,100.89,-0.8900000000000006
1434,25108827,2020,1980,0.625,NEPTUNE,101.02,-1.019999999999996
1435,44127094,2019,1998,0.625,NEPTUNE,100.1,-0.09999999999999432
1444,51913103,2020,2010,0.625,BADGER,100.46,-0.45999999999999375
1445,44129176,2019,1998,0.625,NEPTUNE,100.08,-0.0799999999999983
1446,95041643,2018,1995,0.625,BADGER,100.51,-0.5100000000000051
1449,94705444,2018,1994,0.625,BADGER,100.65,-0.6500000000000057
1461,82284297,2019,2006,0.625,NEPTUNE,100.2,-0.20000000000000284
1481,38024395,2019,1993,0.625,NEPTUNE,100.42,-0.4200000000000017
1484,18432057,2019,2002,0.625,BADGER,100.1,-0.09999999999999432
