meterID,testYear,installationYear,meterSize,meterMake,accuracy
16723319,2019,2016,"5/8""",BADGER,101.48%
41994583,2019,1996,5/8,NEPTUNE,97.10%
91188341,2019,1991,5/8,BADGER,99.71%
30112302,2018,1985,5/8,NEPTUNE,90.81%
36023461,2019,1991,5/8,NEPTUNE,99.31%
91376553,2018,2011,5/8,NEPTUNE,96.46%
28465276,2019,1982,5/8,NEPTUNE,100.08%
33464689,2019,1988,5/8,NEPTUNE,95.65%
79705701,2019,2004,5/8,NEPTUNE,84.94%
17232511,2018,2018,1,BADGER,101.59%
18431420,2019,2018,"5/8""",BADGER,99.67%
10278242,2019,1954,5/8,TRIDENT,100.16%
17566239,2019,2001,5/8,BADGER,98.89%
91664960,2019,2012,5/8,NEPTUNE,98.84%
82283609,2019,2006,5/8,NEPTUNE,98.78%
44126903,2019,1998,5/8,NEPTUNE,97.87%
90364572,2019,2011,5/8,NEPTUNE,98.94%
46212725,2018,1999,5/8,NEPTUNE,99.37%
18422697,2019,2002,5/8,BADGER,100.29%
45574486,2019,1999,5/8,NEPTUNE,100.09%
16995666,2019,2001,5/8,BADGER,98.84%
208831,2019,1956,5/8,TRIDENT,81.19%
42285606,2018,1996,5/8,NEPTUNE,98.00%
46567673,2019,1999,5/8,NEPTUNE,99.70%
42947713,2019,1997,"5/8""",NEPTUNE,98.32%
85381246,2019,2007,5/8,NEPTUNE,81.69%
43166036,2019,1997,5/8,NEPTUNE,98.71%
86240549,2019,2008,5/8,NEPTUNE,99.38%
44129083,2018,1998,5/8,NEPTUNE,96.98%
43766135,2019,1997,5/8,NEPTUNE,98.15%
17921724,2018,2002,5/8,BADGER,99.28%
7873397X,2018,2003,5/8,NEPTUNE,98.94%
18657633,2018,2003,5/8,BADGER,99.11%
29164441,2018,1983,5/8,NEPTUNE,95.66%
9353630,2019,1957,5/8,TRIDENT,78.13%
89019047,2019,2010,5/8,NEPTUNE,98.23%
45886716,2019,1999,5/8,NEPTUNE,99.21%
17206422,2019,2001,"5/8""",BADGER,99.79%
30930119,2018,1986,5/8,NEPTUNE,84.48%
42284861,2019,1996,5/8,NEPTUNE,98.32%
92152853,2018,2012,5/8,NEPTUNE,99.46%
16493167,2019,2010,"5/8""",BADGER,100.53%
87594393,2019,2009,5/8,NEPTUNE,98.41%
43764991,2019,1997,5/8,NEPTUNE,99.02%
36023044,2019,1991,5/8,NEPTUNE,83.95%
2713798,2018,1950,5/8,TRIDENT,97.82%
41161953,2019,1995,5/8,NEPTUNE,98.30%
74229636,2019,2000,5/8,NEPTUNE,99.26%
81211684,2018,2005,5/8,NEPTUNE,99.94%
79078780,2018,2004,5/8,NEPTUNE,97.91%
84319050,2019,2007,5/8,NEPTUNE,98.28%
22903381,2019,1978,5/8,NEPTUNE,99.65%
81999541,2018,2005,5/8,NEPTUNE,99.11%
85379342,2018,2007,5/8,NEPTUNE,100.05%
6820180,2018,1953,5/8,TRIDENT,97.01%
14685066,2019,2010,"5/8""",BADGER,99.79%
22932854,2019,1988,5/8,NEPTUNE,85.29%
89403149,2019,2010,5/8,NEPTUNE,98.79%
45250616,2018,1998,"5/8""",NEPTUNE,99.78%
2039751,2019,1952,5/8,TRIDENT,21.69%
43763889,2019,1997,5/8,NEPTUNE,98.48%
81211877,2018,2005,5/8,NEPTUNE,98.88%
31244895,2019,1988,5/8,NEPTUNE,101.13%
14643071,2018,1954,5/8,TRIDENT,88.10%
90489487,2018,1990,5/8,BADGER,98.16%
94304828,2018,1994,5/8,BADGER,99.52%
28619428,2019,1980,"5/8""",NEPTUNE,101.21%
42948013,2018,1997,5/8,NEPTUNE,99.12%
5252275,2019,1952,"5/8""",TRIDENT,98.54%
17232699,2018,2018,1,BADGER,102.03%
30798368,2018,1986,5/8,NEPTUNE,99.63%
43165219,2019,1997,5/8,NEPTUNE,98.18%
45887007,2019,1999,5/8,NEPTUNE,97.01%
41523228,2018,1996,5/8,NEPTUNE,97.22%
51903348,2019,2000,"5/8""",BADGER,101.15%
36442639,2018,1991,5/8,NEPTUNE,98.20%
90848265,2019,1990,5/8,BADGER,100.91%
44128113,2019,1998,5/8,NEPTUNE,98.54%
14642823,2019,1959,"5/8""",TRIDENT,85.55%
5880177,2019,1955,5/8,TRIDENT,97.43%
87108556,2018,2009,5/8,NEPTUNE,100.41%
80861916,2019,2005,5/8,NEPTUNE,97.64%
33543450,2019,1988,5/8,NEPTUNE,96.76%
80324846,2018,2004,5/8,NEPTUNE,100.16%
86699488,2019,2008,5/8,NEPTUNE,99.60%
32977542,2019,1988,5/8,NEPTUNE,82.00%
80326660,2019,2004,"5/8""",NEPTUNE,101.36%
2191502,2019,1957,5/8,TRIDENT,94.67%
81999846,2018,2006,5/8,NEPTUNE,98.96%
91664957,2019,2012,5/8,NEPTUNE,98.39%
44128768,2018,1998,5/8,NEPTUNE,97.91%
29101561,2019,2004,1,BADGER,0.00%
35826806,2018,1991,5/8,NEPTUNE,99.62%
85639216,2018,2008,5/8,NEPTUNE,98.25%
14049280,2019,2000,"5/8""",BADGER,100.21%
16657840,2019,1995,"5/8""",BADGER,100.43%
90365413,2018,2011,5/8,NEPTUNE,94.07%
93276177,2018,2013,5/8,NEPTUNE,99.05%
18432033,2019,2002,5/8,BADGER,99.12%
36946849,2018,1992,5/8,NEPTUNE,97.86%
41160395,2019,1995,"5/8""",NEPTUNE,99.27%
7405167,2018,1952,5/8,TRIDENT,97.69%
73695933,2019,2000,"5/8""",NEPTUNE,100.33%
45887009,2018,1999,5/8,NEPTUNE,99.86%
91189163,2019,1990,"5/8""",BADGER,100.53%
92841884,2019,2012,5/8,NEPTUNE,97.27%
87108327,2018,2009,5/8,NEPTUNE,99.15%
14048542,2019,2010,"5/8""",BADGER,100.67%
25195661,2019,1978,5/8,NEPTUNE,95.54%
41012772,2019,1995,"5/8""",NEPTUNE,99.04%
41325841,2018,1995,5/8,NEPTUNE,98.38%
90487924,2019,1980,5/8,BADGER,100.83%
17736322,2018,2002,5/8,BADGER,98.90%
84066668,2018,2007,5/8,NEPTUNE,99.09%
85637619,2018,2008,5/8,NEPTUNE,91.22%
37529903,2019,1992,5/8,NEPTUNE,99.07%
34079547,2018,1989,5/8,NEPTUNE,99.72%
18085479,2018,2002,5/8,BADGER,99.57%
40737409,2019,1995,5/8,NEPTUNE,95.41%
23086886,2019,1977,5/8,NEPTUNE,100.01%
46941082,2018,1999,5/8,NEPTUNE,98.50%
79404207,2019,2004,5/8,NEPTUNE,99.36%
45574201,2019,1999,5/8,NEPTUNE,98.24%
16784798,2019,1963,"5/8""",NEPTUNE,101.44%
32380331,2019,2005,1,BADGER,99.46%
41325449,2018,1995,5/8,NEPTUNE,98.51%
17922448,2019,2002,5/8,BADGER,99.17%
45886885,2018,1999,5/8,NEPTUNE,98.06%
95211785,2018,1995,5/8,BADGER,100.23%
44129069,2019,1998,"5/8""",NEPTUNE,100.11%
30554788,2019,1985,"5/8""",NEPTUNE,101.30%
15253680,2020,2010,"5/8""",BADGER,100.51%
1451459,2019,1953,5/8,TRIDENT,76.34%
3878133,2018,1953,5/8,TRIDENT,84.17%
37084244,2018,1992,5/8,NEPTUNE,98.87%
37806684,2018,1993,5/8,NEPTUNE,98.54%
73694877,2019,2000,5/8,NEPTUNE,98.41%
19078673,2018,2003,5/8,BADGER,100.08%
18856183,2018,2003,5/8,BADGER,100.66%
17418200,2019,2001,5/8,BADGER,99.32%
33544810,2019,1988,5/8,NEPTUNE,95.91%
88521634,2019,2009,5/8,NEPTUNE,98.52%
94490714,2019,1994,5/8,BADGER,100.56%
17738019,2019,2002,5/8,BADGER,97.94%
34655296,2018,1990,5/8,NEPTUNE,97.65%
78394379,2019,2003,5/8,NEPTUNE,99.71%
34077013,2018,1989,5/8,NEPTUNE,95.37%
7431197,2018,1958,5/8,TRIDENT,99.93%
94492180,2019,1994,5/8,BADGER,99.84%
14643076,2019,1956,5/8,TRIDENT,97.27%
44760514,2019,1998,5/8,NEPTUNE,99.01%
90366605,2018,2011,5/8,NEPTUNE,97.13%
95212945,2019,1995,5/8,BADGER,99.10%
41522639,2018,1996,5/8,NEPTUNE,98.44%
94692518,2019,1995,5/8,BADGER,99.11%
46941090,2018,1999,5/8,NEPTUNE,99.70%
46940554,2019,1999,5/8,NEPTUNE,98.78%
